ontology,label,definition,internal_id,accuracy,internal_consistency,score,confidence,notes,is_a,relationships,evaluator,
cl,early spermatid,"An early stage in the development of a sperm cell, which is produced by meiosis.",24,5.0,,4.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,An immature male germ cell that undergoes a series of developmental stages before maturing into a fully functional sperm cell.,25,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,The early round stage of spermatid maturation,26,5.0,,4.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,"A development stage of spermatid, a haploid male gametid that results from division of secondary spermatocytes. As a result of two meiotic divisions (in spermatogenesis), four spermatids are produced per spermatocyte (or per primary spermatogonium, through the convention that spermatocytes are primary unless otherwise labeled). During the next phase, called spermiogenesis, a spermatid matures into spermatozoon.",28,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.,29,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,"A highly specialised and advanced cell in the male reproductive system that develops from an early spermatid, integral to the process leading to the production of spermatozoon.",30,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,"A late stage of sperm development, characterized by the formation of a structure called the acrosome.",31,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,A maturing spermatid that is undergoing the process of spermatid development.,32,5.0,,3.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,A specialized cell that progresses from an early spermatid during the process of spermatid development and contributes to the production of mature sperm cells.,33,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,late spermatid,The late elongated stage of spermatid maturation.,34,5.0,,3.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A CD24-positive, CD-133-positive, vimentin-positive cell found scattered throughout a renal proximal tubule and that may participate in tubular regeneration. Compared to other proximal tubular cell types, this cell contains less cytoplasm, fewer mitochondria and no brush border.",36,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A CD24-positive, CD-133-positive, vimentin-positive cell found scattered throughout a renal proximal tubule and that may participate in tubular regeneration. This cell is part of the proximal tubular epithelium and expresses prominin-1, signal transducer CD24, and vimentin. It is a subclass of epithelial cell of proximal tubule.",37,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell is a specific type of renal tubular epithelial cell located in the proximal tubule of the kidney. These cells express markers including CD24, and CD-133, proteins often involved in signal transduction and cell adhesion, as well as vimentin, a type III intermediate filament protein often associated with mesenchymal cells or cell motility.",38,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A CD24-positive, CD133-positive, vimentin-positive proximal tubular cell that is part of the Proximal Tubular Epithelium. These cells express CD24 (Signal Transducer CD24), CD133 (Prominin1), and vimentin proteins.",39,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A proximal tubular cell that is CD24-positive, CD133-positive, and vimentin-positive. This cell expresses Prominin 1, Signal Transducer CD24, and Vimentin and is part of the proximal tubular epithelium.",40,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A proximal tubular cell that is CD24-positive, CD133-positive, and vimentin-positive. This cell expresses prominin1, signal transducer CD24, and vimentin. It is an epithelial cell of the proximal tubule.",41,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A proximal tubular cell that is positive for CD24, CD-133, and vimentin.",42,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A proximal tubular epithelial cell that is CD24-positive, CD133-positive and vimentin-positive.",43,3.0,,5.0,3,others are more descriptive,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A specialized type of cell in the proximal tubular epithelium known for the expression of Prominin 1 (CD133), Signal Transducer CD24, and Vimentin. This cell is a subclass of the epithelial cells of the proximal tubule.",44,5.0,,5.0,3,,EpithelialCellOfProximalTubule,"{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A ciliated epithelial cell of the endometrium.,45,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A ciliated cell of the endometrial epithelium. The cilia of this cell type help move mucus from glandular tissue of the endometrium.,46,5.0,,5.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A ciliated epithelial cell that is part of the endometrium epithelium.,47,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A ciliated epithelial cell that is part of the endometrium.,48,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A specialized epithelial cell found in the endometrium that possesses cilia and has distinct functions related to the female reproductive system.,49,5.0,,5.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,A specialized type of ciliated epithelial cell found in the endometrium epithelium.,50,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,"An endometrial ciliated epithelial cell is a specialized epithelial cell found in the lining of the uterus (endometrium), characterized by the presence of cilia on its surface, involved in fluid and particle movement during reproductive processes.",51,5.0,,5.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,An epithelial cell of the endometrium that has cilia.,52,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,An epithelial cell with cilia that is part of the endometrium.,53,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,endometrial ciliated epithelial cell,Ciliated epithelial cell of the endometrium.,54,5.0,,4.0,3,,CiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,A ciliated epithelial cell of the glandular endometrium.,55,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,A ciliated cell of the endometrial glandular epithelium.,56,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,A ciliated epithelial cell that is part of the endometrial glandular epithelium.,57,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,"A glandular endometrial ciliated epithelial cell is a specialized cell type found within the glands of the endometrium, the inner lining of the uterus. These cells are characterized by the presence of cilia on their surfaces, with a primary function to secrete and move substances via these cilia.",58,5.0,,5.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,A glandular epithelial cell of the endometrium that has cilia.,59,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,"A specific type of endometrial ciliated epithelial cell that resides in the glandular epithelium of the endometrium, contributing to the transport of the oocyte or the fertilized egg to the uterus and the production of substances essential for the nourishment and survival of the embryo.",60,5.0,,5.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,An epithelial cell found in the glandular regions of the endometrium. It is ciliated and has specialized functions.,61,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,Ciliated epithelial cell of the glandular endometrium.,62,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,Ciliated epithelial cell that is part of the glandular epithelium of the endometrium.,63,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,glandular endometrial ciliated epithelial cell,Glandular endometrial ciliated epithelial cell.,64,5.0,,4.0,3,,EndometrialCiliatedEpithelialCell,"{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A DRD1-expressing medium spiny neuron that is part of a matrix compartment of dorsal striatum.,65,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A DRD1-expressing medium spiny neuron that is part of a matrix compartment of the dorsal striatum.,66,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A direct pathway medium spiny neuron that expresses dopamine type 1 receptors and projects to the globus pallidus internus or the substantia nigra pars reticulata.,67,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,"A matrix D1 medium spiny neuron is a type of neuron primarily found in the striatum region of the brain, namely the matrix compartment, characterized by its prominent dendritic spine density and expression of dopamine receptor D1. These cells are involved in regulating motor function, learning, and reward behavior.",68,5.0,,5.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,"A medium spiny neuron primarily found in the striatum region of the brain, characterized by the expression of D1-type dopamine receptors, making it a significant part of the corticostriatal pathway.",69,5.0,,5.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A medium spiny neuron that belongs to the matrix D1 subtype of direct pathway medium spiny neurons.,70,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A medium spiny neuron that is part of the direct pathway and expresses dopamine type 1 receptors.,71,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,A medium spiny neuron that primarily expresses D1-dopamine receptors and is located in the matrix compartment of the striatum.,72,5.0,,4.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D1 medium spiny neuron,"A medium-sized neuron located in the matrix of the brain, specifically in the striatum. It has a distinctive tree-like structure called dendritic spines and plays a crucial role in the transmission of electrical signals. It is part of the direct pathway within the basal ganglia and is involved in the regulation of movement, decision-making, and reward processing. It utilizes neurotransmitters such as dopamine and glutamate to transmit signals and receives inputs from various regions of the brain. Dysfunction or alterations in this neuron have been implicated in neurological disorders such as Parkinson's disease, Huntington's disease, and addiction.",73,5.0,,5.0,3,,DirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A DRD2-expressing medium spiny neuron that is part of a matrix compartment of dorsal striatum.,74,5.0,,4.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,"A matrix D2 medium spiny neuron is a type of neuron primarily located in the striatum, known for its expression of the D2 dopamine receptor and its abundance of dendritic spines. Its primary function is to regulate motor and reward-related behaviors, with its dysfunction linked to psychomotor disorders such as Parkinson's disease.",75,5.0,,5.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A medium spiny neuron in the matrix that expresses dopamine type 2 receptors.,76,5.0,,4.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A medium spiny neuron that expresses the D2 dopamine receptor in its membrane and is part of the indirect pathway of the basal ganglia.,77,5.0,,5.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A medium spiny neuron that is part of a matrix compartment of the dorsal striatum and expresses dopamine type 2 receptors.,78,5.0,,4.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A medium spiny neuron that is part of the indirect pathway and expresses dopamine type 2 receptors.,79,5.0,,4.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A specific type of indirect pathway medium spiny neuron that may be characterized by expression of the D2 Dopamine Receptor and have specialized roles within the indirect pathway of the basal ganglia circuitry in the brain.,80,5.0,,5.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,A type of indirect pathway medium spiny neuron that expresses dopamine D2 receptors.,81,5.0,,4.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,matrix D2 medium spiny neuron,"A type of neuron usually found in the striatum, characterized by the presence of spiny dendrites. Matrix D2 medium spiny neurons express type 2 dopamine receptors and are part of the indirect pathway.",82,5.0,,5.0,3,,IndirectPathwayMediumSpinyNeuron,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
