ontology	label	definition	internal_id	accuracy	internal_consistency	score	confidence	notes	is_a	relationships	is_original	masked_id	expected_label	feature_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_label	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives	task	method	model_name	feature_label	expected_relationships	predicted_relationships	expected_definition	predicted_definition
cl	dental pulp stem cell	A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	11	0.0					StemCell | DentalPulpCell		True	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-3.5-turbo	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
cl	dental pulp stem cell	A dental pulp stem cell that is part_of a dental pulp.	12	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-4	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
cl	dental pulp stem cell	A dental pulp stem cell that is part_of a dental pulp.	13	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-3.5-turbo	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
cl	dental pulp stem cell	A dental pulp stem cell that is part_of a dental pulp.	14	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	devdocs	gpt-3.5-turbo	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
cl	dental pulp stem cell	A dental pulp stem cell that is part_of a dental pulp.	15	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
cl	dental pulp stem cell	A dental pulp stem cell.	16	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-3.5-turbo	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell.
cl	dental pulp stem cell	A stem cell that is part of dental pulp.	17	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	nous-hermes-13b	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A stem cell that is part of dental pulp.
cl	dental pulp stem cell	A stem cell that is part_of a dental pulp.	18	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-4	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A stem cell that is part_of a dental pulp.
cl	early spermatid	A developmental cell that arises from a secondary spermatocyte and becomes a spermatid following meiosis II.	19	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	A developmental cell that arises from a secondary spermatocyte and becomes a spermatid following meiosis II.
cl	early spermatid	A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	20	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	True	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	A developmental cell that arises from a secondary spermatocyte and becomes a spermatid following meiosis II.
cl	early spermatid	A stage of spermatid during spermatogenesis characterized by its early development.	21	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	devdocs	gpt-3.5-turbo	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	A stage of spermatid during spermatogenesis characterized by its early development.
cl	early spermatid	A type of spermatid that is in an early stage of development.	22	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-3.5-turbo	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	A type of spermatid that is in an early stage of development.
cl	early spermatid	An early spermatid is a basic form of a sperm cell in the earlier stages of spermatogenesis, playing a vital role in the development and transformation into mature sperm.	23	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-4	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	An early spermatid is a basic form of a sperm cell in the earlier stages of spermatogenesis, playing a vital role in the development and transformation into mature sperm.
cl	early spermatid	An early stage in the development of a sperm cell, which is produced by meiosis.	24	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	nous-hermes-13b	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	An early stage in the development of a sperm cell, which is produced by meiosis.
cl	early spermatid	An immature male germ cell that undergoes a series of developmental stages before maturing into a fully functional sperm cell.	25	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-3.5-turbo	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	An immature male germ cell that undergoes a series of developmental stages before maturing into a fully functional sperm cell.
cl	early spermatid	The early round stage of spermatid maturation	26	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-3.5-turbo	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	The early round stage of spermatid maturation
cl	early spermatid	The early round stage of spermatid maturation	27	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	EarlySpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-4	early spermatid			A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.	The early round stage of spermatid maturation
cl	late spermatid	A development stage of spermatid, a haploid male gametid that results from division of secondary spermatocytes. As a result of two meiotic divisions (in spermatogenesis), four spermatids are produced per spermatocyte (or per primary spermatogonium, through the convention that spermatocytes are primary unless otherwise labeled). During the next phase, called spermiogenesis, a spermatid matures into spermatozoon.	28	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A development stage of spermatid, a haploid male gametid that results from division of secondary spermatocytes. As a result of two meiotic divisions (in spermatogenesis), four spermatids are produced per spermatocyte (or per primary spermatogonium, through the convention that spermatocytes are primary unless otherwise labeled). During the next phase, called spermiogenesis, a spermatid matures into spermatozoon.
cl	late spermatid	A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	29	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	True	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A development stage of spermatid, a haploid male gametid that results from division of secondary spermatocytes. As a result of two meiotic divisions (in spermatogenesis), four spermatids are produced per spermatocyte (or per primary spermatogonium, through the convention that spermatocytes are primary unless otherwise labeled). During the next phase, called spermiogenesis, a spermatid matures into spermatozoon.
cl	late spermatid	A highly specialised and advanced cell in the male reproductive system that develops from an early spermatid, integral to the process leading to the production of spermatozoon.	30	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-4	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A highly specialised and advanced cell in the male reproductive system that develops from an early spermatid, integral to the process leading to the production of spermatozoon.
cl	late spermatid	A late stage of sperm development, characterized by the formation of a structure called the acrosome.	31	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	nous-hermes-13b	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A late stage of sperm development, characterized by the formation of a structure called the acrosome.
cl	late spermatid	A maturing spermatid that is undergoing the process of spermatid development.	32	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	devdocs	gpt-3.5-turbo	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A maturing spermatid that is undergoing the process of spermatid development.
cl	late spermatid	A specialized cell that progresses from an early spermatid during the process of spermatid development and contributes to the production of mature sperm cells.	33	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-3.5-turbo	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	A specialized cell that progresses from an early spermatid during the process of spermatid development and contributes to the production of mature sperm cells.
cl	late spermatid	The late elongated stage of spermatid maturation.	34	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-3.5-turbo	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	The late elongated stage of spermatid maturation.
cl	late spermatid	The late elongated stage of spermatid maturation.	35	0.0					Spermatid	{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}	False	LateSpermatid				[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'DevelopsFrom', 'target': 'EarlySpermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030037		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-4	late spermatid			A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed.	The late elongated stage of spermatid maturation.
