ontology	label	definition	internal_id	accuracy	internal_consistency	score	confidence	notes	is_a	relationships
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A CD24-positive, CD-133-positive, vimentin-positive cell found scattered throughout a renal proximal tubule and that may participate in tubular regeneration. This cell is part of the proximal tubular epithelium and expresses prominin-1, signal transducer CD24, and vimentin. It is a subclass of epithelial cell of proximal tubule.	37						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell is a specific type of renal tubular epithelial cell located in the proximal tubule of the kidney. These cells express markers including CD24, and CD-133, proteins often involved in signal transduction and cell adhesion, as well as vimentin, a type III intermediate filament protein often associated with mesenchymal cells or cell motility.	38						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A CD24-positive, CD133-positive, vimentin-positive proximal tubular cell that is part of the Proximal Tubular Epithelium. These cells express CD24 (Signal Transducer CD24), CD133 (Prominin1), and vimentin proteins.	39						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A proximal tubular cell that is CD24-positive, CD133-positive, and vimentin-positive. This cell expresses Prominin 1, Signal Transducer CD24, and Vimentin and is part of the proximal tubular epithelium.	40						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A proximal tubular cell that is CD24-positive, CD133-positive, and vimentin-positive. This cell expresses prominin1, signal transducer CD24, and vimentin. It is an epithelial cell of the proximal tubule.	41						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A proximal tubular cell that is positive for CD24, CD-133, and vimentin.	42						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A proximal tubular epithelial cell that is CD24-positive, CD133-positive and vimentin-positive.	43						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	A specialized type of cell in the proximal tubular epithelium known for the expression of Prominin 1 (CD133), Signal Transducer CD24, and Vimentin. This cell is a subclass of the epithelial cells of the proximal tubule.	44						EpithelialCellOfProximalTubule	{'predicate': 'PartOf', 'target': 'ProximalTubularEpithelium'} | {'predicate': 'Expresses', 'target': 'Prominin1'} | {'predicate': 'Expresses', 'target': 'SignalTransducerCD24'} | {'predicate': 'Expresses', 'target': 'Vimentin'}
cl	endometrial ciliated epithelial cell	A ciliated epithelial cell of the endometrium.	45						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	A ciliated cell of the endometrial epithelium. The cilia of this cell type help move mucus from glandular tissue of the endometrium.	46						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	A ciliated epithelial cell that is part of the endometrium epithelium.	47						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	A ciliated epithelial cell that is part of the endometrium.	48						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	A specialized epithelial cell found in the endometrium that possesses cilia and has distinct functions related to the female reproductive system.	49						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	A specialized type of ciliated epithelial cell found in the endometrium epithelium.	50						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	An endometrial ciliated epithelial cell is a specialized epithelial cell found in the lining of the uterus (endometrium), characterized by the presence of cilia on its surface, involved in fluid and particle movement during reproductive processes.	51						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	An epithelial cell of the endometrium that has cilia.	52						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	An epithelial cell with cilia that is part of the endometrium.	53						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	endometrial ciliated epithelial cell	Ciliated epithelial cell of the endometrium.	54						CiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A ciliated epithelial cell of the glandular endometrium.	55						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A ciliated cell of the endometrial glandular epithelium.	56						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A ciliated epithelial cell that is part of the endometrial glandular epithelium.	57						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A glandular endometrial ciliated epithelial cell is a specialized cell type found within the glands of the endometrium, the inner lining of the uterus. These cells are characterized by the presence of cilia on their surfaces, with a primary function to secrete and move substances via these cilia.	58						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A glandular epithelial cell of the endometrium that has cilia.	59						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	A specific type of endometrial ciliated epithelial cell that resides in the glandular epithelium of the endometrium, contributing to the transport of the oocyte or the fertilized egg to the uterus and the production of substances essential for the nourishment and survival of the embryo.	60						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	An epithelial cell found in the glandular regions of the endometrium. It is ciliated and has specialized functions.	61						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	Ciliated epithelial cell of the glandular endometrium.	62						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	Ciliated epithelial cell that is part of the glandular epithelium of the endometrium.	63						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	glandular endometrial ciliated epithelial cell	Glandular endometrial ciliated epithelial cell.	64						EndometrialCiliatedEpithelialCell	{'predicate': 'PartOf', 'target': 'EndometriumGlandularEpithelium'}
cl	matrix D1 medium spiny neuron	A DRD1-expressing medium spiny neuron that is part of a matrix compartment of dorsal striatum.	65						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A DRD1-expressing medium spiny neuron that is part of a matrix compartment of the dorsal striatum.	66						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A direct pathway medium spiny neuron that expresses dopamine type 1 receptors and projects to the globus pallidus internus or the substantia nigra pars reticulata.	67						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A matrix D1 medium spiny neuron is a type of neuron primarily found in the striatum region of the brain, namely the matrix compartment, characterized by its prominent dendritic spine density and expression of dopamine receptor D1. These cells are involved in regulating motor function, learning, and reward behavior.	68						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A medium spiny neuron primarily found in the striatum region of the brain, characterized by the expression of D1-type dopamine receptors, making it a significant part of the corticostriatal pathway.	69						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A medium spiny neuron that belongs to the matrix D1 subtype of direct pathway medium spiny neurons.	70						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A medium spiny neuron that is part of the direct pathway and expresses dopamine type 1 receptors.	71						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A medium spiny neuron that primarily expresses D1-dopamine receptors and is located in the matrix compartment of the striatum.	72						DirectPathwayMediumSpinyNeuron	
cl	matrix D1 medium spiny neuron	A medium-sized neuron located in the matrix of the brain, specifically in the striatum. It has a distinctive tree-like structure called dendritic spines and plays a crucial role in the transmission of electrical signals. It is part of the direct pathway within the basal ganglia and is involved in the regulation of movement, decision-making, and reward processing. It utilizes neurotransmitters such as dopamine and glutamate to transmit signals and receives inputs from various regions of the brain. Dysfunction or alterations in this neuron have been implicated in neurological disorders such as Parkinson's disease, Huntington's disease, and addiction.	73						DirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A DRD2-expressing medium spiny neuron that is part of a matrix compartment of dorsal striatum.	74						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A matrix D2 medium spiny neuron is a type of neuron primarily located in the striatum, known for its expression of the D2 dopamine receptor and its abundance of dendritic spines. Its primary function is to regulate motor and reward-related behaviors, with its dysfunction linked to psychomotor disorders such as Parkinson's disease.	75						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A medium spiny neuron in the matrix that expresses dopamine type 2 receptors.	76						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A medium spiny neuron that expresses the D2 dopamine receptor in its membrane and is part of the indirect pathway of the basal ganglia.	77						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A medium spiny neuron that is part of a matrix compartment of the dorsal striatum and expresses dopamine type 2 receptors.	78						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A medium spiny neuron that is part of the indirect pathway and expresses dopamine type 2 receptors.	79						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A specific type of indirect pathway medium spiny neuron that may be characterized by expression of the D2 Dopamine Receptor and have specialized roles within the indirect pathway of the basal ganglia circuitry in the brain.	80						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A type of indirect pathway medium spiny neuron that expresses dopamine D2 receptors.	81						IndirectPathwayMediumSpinyNeuron	
cl	matrix D2 medium spiny neuron	A type of neuron usually found in the striatum, characterized by the presence of spiny dendrites. Matrix D2 medium spiny neurons express type 2 dopamine receptors and are part of the indirect pathway.	82						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A DRD2-expressing medium spiny neuron that is part of the striosomal compartment of the dorsal striatum.	83						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A DRD2-expressing medium spiny neuron that is part of a striosome of dorsal striatum.	84						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A medium spiny neuron of the striatum that belongs to the striosomal compartment and expresses dopamine type 2 receptors.	85						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A medium spiny neuron of the striatum that expresses dopamine type 2 receptors and is part of the indirect pathway.	86						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A medium spiny neuron of the striatum that is part of the indirect pathway and expresses dopamine type 2 receptors.	87						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A specific type of medium spiny neuron found in the striatum that expresses the D2 dopamine receptor and is classified as a subclass of the indirect pathway medium spiny neuron.	88						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A specific type of neuron primarily located in the striosome compartments of the striatum. These neurons, subclass of Indirect Pathway Medium Spiny Neurons, contain high levels of dopamine D2 receptors, integral components of the brain's indirect pathway of movement control.	89						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A striosomal D2 medium spiny neuron is a type of medium spiny neuron predominantly located in the striosomes of the striatum, characterized by its expression of D2 dopamine receptors, and involved in the control of motor functions and reward. This neuron exhibits spiny dentritic structures and exhibits inhibitory functions due to its GABA (gamma-aminobutyric acid) properties.	90						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A type of indirect pathway medium spiny neuron located in the striatum that expresses dopamine D2 receptors.	91						IndirectPathwayMediumSpinyNeuron	
cl	striosomal D2 medium spiny neuron	A type of indirect pathway medium spiny neuron that is located in the striosomes of the striatum.	92						IndirectPathwayMediumSpinyNeuron	
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron located in the dorsal striatum that expresses both D1 and D2 dopamine receptors.	93						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both DRD1 and DRD2 and is part of an extra-striosomal part of dorsal striatum.	94						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron located in the dorsal striatum that expresses both D1A and D2 dopamine receptors.	95						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both D1 and D2 dopamine receptors, located in the dorsal striatum.	96						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both D1A and D2 dopamine receptors and has its soma located in the dorsal striatum.	97						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both D1A and D2 dopamine receptors and is located in the dorsal striatum.	98						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both D1A dopamine receptor and D2 dopamine receptor and has its soma located in the Dorsal Striatum.	99						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that is located in the dorsal striatum and expresses both D1 and D2 dopamine receptors.	100						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that is located in the dorsal striatum and expresses both D1A and D2 dopamine receptors.	101						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	D1/D2-hybrid medium spiny neuron	D1/D2-Hybrid Medium Spiny Neuron: A subtype of medium spiny neuron characterized by co-expression of both D1 and D2 dopamine receptors predominantly found in the striatum, participating in both the direct and indirect pathways for motor control.	102						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'} | {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A D2-expressing medium spiny neuron located in the shell region of the nucleus accumbens and the olfactory tubercle.	103						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A DRD2-expressing medium spiny neuron that is part of a nucleus accumbens shell or olfactory tubercle.	104						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A DRD2-expressing medium spiny neuron that is part of a nucleus accumbens shell or olfactory tubercle. The cell's soma location is in the ventral striatum.	105						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A medium spiny neuron found in the nucleus accumbens shell and olfactory tubercle. It expresses the D2 dopamine receptor and is located in the ventral striatum.	106						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A medium spiny neuron located in the nucleus accumbens shell and olfactory tubercle that expresses dopamine type 2 receptors and has its soma in the ventral striatum.	107						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A medium spiny neuron located in the nucleus accumbens shell and olfactory tubercle that expresses dopamine type 2 receptors.	108						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A medium spiny neuron that expresses dopamine type 2 receptors and projects to the external globus pallidus. It is located in the nucleus accumbens shell, which is part of the ventral striatum.	109						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A medium spiny neuron that is part of the nucleus accumbens shell and olfactory tubercle and expresses dopamine type 2 receptors.	110						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
cl	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	A subtype of medium spiny neuron located in the ventral striatum, expressing D2 dopamine receptors, with critical functions in the brain's reward system and dopamine functionality. Abnormalities in these neurons have been associated with disorders such as addiction, schizophrenia, and Parkinson's disease.	111						MediumSpinyNeuron	{'predicate': 'HasSomaLocation', 'target': 'VentralStriatum'} | {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}
