# model_name: nous-hermes-13b
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-06 07:49:02.185875'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
RolledOats_cooked_	rolled oats (cooked)	Rolled oats which are cooked		[{'predicate': 'subClassOf', 'target': 'RolledOats'}]		FOODON:00004362	[{'predicate': 'subClassOf', 'target': 'CommonOatCerealFoodProduct_cooked'}, {'predicate': 'HasQualityRO:0000124', 'target': 'Cooked'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
RyeKernel_cooked_	rye kernel (cooked)			[{'predicate': 'subClassOf', 'target': 'RyeKernel'}]		FOODON:00004380	[{'predicate': 'InTaxon', 'target': 'SecaleCereale'}, {'predicate': 'MemberOf', 'target': 'GrainOrStarchProduct_usCfr_'}, {'predicate': 'subClassOf', 'target': 'SumacFoodProduct'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	0.0	0.0	0.0	0.0	0.0	0	0	4	1
AsparagusBean_raw_	asparagus bean (raw)			[{'predicate': 'subClassOf', 'target': 'AsparagusBean'}]		FOODON:00004350	[{'predicate': 'subClassOf', 'target': 'AsparagusBeanFoodProduct'}, {'predicate': 'DerivesFrom', 'target': 'PhaseolusVulgaris_edibleSeedCultivar_plant_'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
HickoryNutFoodProduct	hickory nut food product	A food product which derives from a hickory cultivar (Carya) nut.		[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]		FOODON:00004435	[{'predicate': 'DerivesFrom', 'target': 'HickoryNut'}, {'predicate': 'subClassOf', 'target': 'TreeNutFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
PinkShrimp_raw_	pink shrimp (raw)			[{'predicate': 'subClassOf', 'target': 'Shrimp_raw_'}]		FOODON:00004419	[{'predicate': 'DerivesFrom', 'target': 'Crustacean_raw_'}, {'predicate': 'subClassOf', 'target': 'Lobster_raw_'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
DragonFruit	dragon fruit	A fruit from the dragon fruit cactus (Selenicereus undatus).		[{'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}, {'predicate': 'subClassOf', 'target': 'PitayaFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'BerryFruit'}, {'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}]	FOODON:00004385	[{'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}, {'predicate': 'subClassOf', 'target': 'BerryFruit'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
WildBoarMeat_ground_	wild boar meat (ground)	Wild boar meat which is ground.		[{'predicate': 'subClassOf', 'target': 'WildBoarFoodProduct'}]		FOODON:00004425	[{'predicate': 'subClassOf', 'target': 'GroundMeat_efsaFoodex2_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
IvyGourd_frozenRaw_	ivy gourd (frozen raw)			[{'predicate': 'subClassOf', 'target': 'IvyGourdFoodProduct'}]		FOODON:00004407	[{'predicate': 'subClassOf', 'target': '06760_CourgettesAndSimilar_EfsaFoodex2_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DurumWheatKernel_raw_	durum wheat kernel (raw)	A durum wheat kernel which is raw (not dried).		[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'DurumWheatKernel'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'DurumWheatKernel'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004364	[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'DurumWheatKernel'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
MafurraNutFoodProduct	mafurra nut food product	A food product derived from a mafurra (Trichilia emetica) nut.		[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]		FOODON:00004431	[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
DuckEgg	duck egg			[{'predicate': 'InTaxon', 'target': 'Duck'}, {'predicate': 'subClassOf', 'target': 'DuckEggFoodProduct'}, {'predicate': 'subClassOf', 'target': 'ShelledEgg'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ShelledEgg'}, {'predicate': 'InTaxon', 'target': 'Duck'}]	FOODON:00004428	[{'predicate': 'rdfs:subClassOf', 'target': 'ShelledEgg'}, {'predicate': 'InTaxon', 'target': 'Duck'}]	0.5	0.3333333333333333	0.4	0.25	0.0	1	0	1	2
PlantPiece	plant piece	An anatomical or other piece derived from a plant.		[{'predicate': 'subClassOf', 'target': 'OrganismPiece'}, {'predicate': 'subClassOf', 'target': 'PlantMaterial'}]		FOODON:00004333	[{'predicate': 'subClassOf', 'target': 'PlantMaterial'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1
GreenAcornSquash_raw_	green acorn squash (raw)	A whole green acorn squash which is raw.		[{'predicate': 'subClassOf', 'target': 'GreenAcornSquash'}]		FOODON:00004443	[{'predicate': 'subClassOf', 'target': 'AcornSquash_raw_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreenAcornSquash	green acorn squash	A whole acorn squash which has a green skin.		[{'predicate': 'subClassOf', 'target': 'AcornSquash'}]		FOODON:00004442	[{'predicate': 'subClassOf', 'target': 'AcornSquash'}, {'predicate': 'InTaxon', 'target': 'CucurbitaPepoVar_ovifera'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
CanolaStraw	canola straw	A straw of a canola plant (Brassica napus var. napus).		[{'predicate': 'subClassOf', 'target': 'Straw'}]		FOODON:00004430	[{'predicate': 'InTaxon', 'target': 'BrassicaNapus'}, {'predicate': 'subClassOf', 'target': 'CanolaPlantFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
WingedBeanLeaf	winged bean leaf	A leaf of a winged bean plant (Psophocarpus tetragonolobus).		[{'predicate': 'InTaxon', 'target': 'PsophocarpusTetragonolobus'}, {'predicate': 'subClassOf', 'target': 'WingedBeanFoodProduct'}, {'predicate': 'subClassOf', 'target': 'BeanLeaf'}, {'predicate': 'subClassOf', 'target': 'RosetteLeaf'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'RosetteLeaf'}, {'predicate': 'InTaxon', 'target': 'PsophocarpusTetragonolobus'}]	FOODON:00004390	[{'predicate': 'InTaxon', 'target': 'PsophocarpusTetragonolobus'}, {'predicate': 'subClassOf', 'target': 'RosetteLeaf'}]	1.0	0.5	0.6666666666666666	0.5	0.0	2	0	0	2
AmericanBeautyberry_raw_	american beautyberry (raw)			[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'AmericanBeautyberry'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'AmericanBeautyberry'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004397	[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'AmericanBeautyberry'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
GoldenAcornSquash_raw_	golden acorn squash (raw)	A whole golden acorn squash which is raw.		[{'predicate': 'subClassOf', 'target': 'GreenAcornSquash'}, {'predicate': 'subClassOf', 'target': 'GoldenAcornSquash'}]		FOODON:00004445	[{'predicate': 'subClassOf', 'target': 'AcornSquash_raw_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
Potato_withSkin_boiled_	potato (with skin, boiled)	A boiled whole potato.		[{'predicate': 'subClassOf', 'target': 'PotatoFoodProduct'}]		FOODON:00004345	[{'predicate': 'subClassOf', 'target': 'Potato_withSkin_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GoatFoodProduct	goat food product	A food product made from one or more goats.		[{'predicate': 'subClassOf', 'target': 'MammalianMeatFoodProduct'}]		FOODON:00004420	[{'predicate': 'subClassOf', 'target': 'MeatFoodProduct'}, {'predicate': 'subClassOf', 'target': 'AnimalFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
RedHickoryNut	red hickory nut	A whole hickory nut from a red hickory tree (Carya ovalis)		[{'predicate': 'InTaxon', 'target': 'CaryaOvalis'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvalis'}]	FOODON:00004450	[{'predicate': 'InTaxon', 'target': 'CaryaOvalis'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
HempSeed_raw_	hemp seed (raw)			[{'predicate': 'subClassOf', 'target': 'HempSeed'}]		FOODON:00004401	[]	0.0	0.0	0.0	0.0	0.0	0	0	0	1
PecanNutFoodProduct	pecan nut food product	A food product which derives from a pecan cultivar (Carya illinoinensis) nut.		[{'predicate': 'subClassOf', 'target': 'HickoryNutFoodProduct'}]		FOODON:00002107	[{'predicate': 'DerivesFrom', 'target': 'PecanNutFoodProduct'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
BerryJuice	berry juice			[{'predicate': 'subClassOf', 'target': 'FruitJuiceFoodProduct'}, {'predicate': 'subClassOf', 'target': 'BerryFoodProduct'}]		FOODON:00001641		0.0	0.0	0.0	0.0	0.0	0	0	0	1
BlackBeautyberry_raw_	black beautyberry (raw)			[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'BlackBeautyberry'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'BlackBeautyberry'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004395	[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'BlackBeautyberry'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
HempSeed_dehulled_raw_	hemp seed (dehulled, raw)			[{'predicate': 'subClassOf', 'target': 'HempFoodProduct'}]		FOODON:00004400	[{'predicate': 'DerivesFrom', 'target': 'HempPlant'}, {'predicate': 'MemberOf', 'target': 'SpiceOrHerb_usCfr_'}, {'predicate': 'subClassOf', 'target': 'HempSeed'}]	0.0	0.0	0.0	0.0	0.0	0	0	3	1
PinkShrimp_cooked_	pink shrimp (cooked)	Pink shrimp (Pandalus borealis) which have been cooked.		[{'predicate': 'subClassOf', 'target': 'Shrimp_cooked_'}]		FOODON:00004418	[{'predicate': 'subClassOf', 'target': 'Crustacean_cooked_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PlantMaterial	plant material	Anatomical or other piece(s) or substance derived from one or more plants.		[{'predicate': 'subClassOf', 'target': 'OrganismMaterial'}]		FOODON:00004331	[{'predicate': 'subClassOf', 'target': 'MaterialEntity'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
WildBoarMeat_raw_	wild boar meat (raw)	Wild boar meat which is raw.		[{'predicate': 'subClassOf', 'target': 'WildBoarFoodProduct'}]		FOODON:00004424	[{'predicate': 'subClassOf', 'target': 'WildBoarMeatFoodProduct'}, {'predicate': 'subClassOf', 'target': 'Raw_meat'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
AnimalOrgan	animal organ			[{'predicate': 'subClassOf', 'target': 'AnimalPiece'}]		FOODON:00004436	[{'predicate': 'subClassOf', 'target': 'AnimalMaterial'}, {'predicate': 'PartOf', 'target': 'AnimalBody'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
MexicanHickoryNut	mexican hickory nut	A whole hickory nut from a mexican hickory tree (Carya palmeri)		[{'predicate': 'InTaxon', 'target': 'CaryaPalmeri'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaPalmeri'}]	FOODON:00004452	[{'predicate': 'InTaxon', 'target': 'CaryaPalmeri'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
BabyArugulaGreens	baby arugula greens	A bunch of baby arugula leaves (immature leaves)		[{'predicate': 'subClassOf', 'target': 'ArugulaGreensBunch'}]		FOODON:00004437	[{'predicate': 'subClassOf', 'target': 'ArugulaFoodProduct'}, {'predicate': 'InTaxon', 'target': 'BabyLimaBeanPlant'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
RiceKernelWithHusk	rice kernel with husk	A rice kernel which is attached to its husk.		[{'predicate': 'subClassOf', 'target': 'RiceFoodProduct'}]		FOODON:00004329	[{'predicate': 'subClassOf', 'target': 'RiceKernelFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SweetPotato_cooked_	sweet potato (cooked)	A sweet potato that has been cooked.		[{'predicate': 'subClassOf', 'target': 'SweetPotato'}]		FOODON:00004429	[{'predicate': 'subClassOf', 'target': 'SweetPotatoFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MexicanGreySquash_raw_	mexican grey squash (raw)	A whole Mexican grey squash which is raw.		[{'predicate': 'subClassOf', 'target': 'MexicanGreySquash'}]		FOODON:00004447	[{'predicate': 'subClassOf', 'target': 'SquashFoodProduct'}, {'predicate': 'subClassOf', 'target': 'RawVegetable'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
MalnutritionSupplementFoodProduct	malnutrition supplement food product	A food supplement food product designed to alleviate malnutrition.		[{'predicate': 'subClassOf', 'target': 'FoodSupplementFoodProduct'}]		FOODON:03603000	[{'predicate': 'subClassOf', 'target': 'FoodSupplementFoodProduct'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
DuckEggYolk_raw_	duck egg yolk (raw)			[{'predicate': 'subClassOf', 'target': 'DuckEggFoodProduct'}]		FOODON:00004427	[{'predicate': 'subClassOf', 'target': 'EggYolk_raw_'}, {'predicate': 'HasPart', 'target': 'DuckEgg'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
Parsnip_peeled_	parsnip (peeled)	A parsnip which has been peeled.		[{'predicate': 'subClassOf', 'target': 'ParsnipFoodProduct'}]		FOODON:00004370	[{'predicate': 'subClassOf', 'target': 'ParsnipFoodProduct'}, {'predicate': 'subClassOf', 'target': 'Root_tuberOrBulb_withPeel'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
GreenCardamomSeed_dried_	green cardamom seed (dried)			[{'predicate': 'subClassOf', 'target': 'CardamomFoodProduct'}]		FOODON:00004454	[{'predicate': 'DerivesFrom', 'target': 'GreenCardamomPlant'}, {'predicate': 'subClassOf', 'target': 'CardamomFoodProduct'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
CommonMillet_cooked_	common millet (cooked)	Common millet which is cooked.		[{'predicate': 'subClassOf', 'target': 'CommonMilletFoodProduct'}]		FOODON:00004438	[{'predicate': 'subClassOf', 'target': 'Food_cooked_'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
