# model_name: nous-hermes-13b
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-04 11:45:45.034903'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_envo
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_envo_training
#   testing_set_collection: ont_envo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
PrivatePrison	private prison	A prison facility which is owned and operated by a private corporation.		[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]		ENVO:03501205	[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
Pharmacy	pharmacy	A healthcare facility which is used to prepare, dispense, or sell medical drugs.		[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}]		ENVO:03501193	[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}, {'predicate': 'CapableOf', 'target': 'MaterialTransportProcess'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
PlanetaryCryosphere	planetary cryosphere	A cryosphere which is part of a planet.		[{'predicate': 'PartOf', 'target': 'Planet'}, {'predicate': 'subClassOf', 'target': 'Cryosphere'}]		ENVO:03000144	[{'predicate': 'subClassOf', 'target': 'Cryosphere'}, {'predicate': 'partOf', 'target': 'Planet'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
Utensil	utensil	A hand tool for domestic use, especially in the kitchen.		[{'predicate': 'subClassOf', 'target': 'HandTool'}]		ENVO:03501327	[{'predicate': 'subClassOf', 'target': 'KitchenAppliance'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PetroleumOilRefinery	petroleum oil refinery	A refinery which is capable of processing petroleum oil.		[{'predicate': 'subClassOf', 'target': 'Refinery'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Refinery'}, {'predicate': 'CapableOf', 'target': '_:riog00017075'}]	ENVO:02000142	[{'predicate': 'subClassOf', 'target': 'Refinery'}, {'predicate': 'CapableOf', 'target': '_:riog00017075'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
WalkInClinic	walk-in clinic	A medical clinic which is used to provide services to walk-in patients.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501192	[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}, {'predicate': 'LocatedIn', 'target': 'Building'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
Supermarket	supermarket	A self-service shop offering a wide variety of food, beverages and household products, organized into sections.		[{'predicate': 'subClassOf', 'target': 'FoodShop'}]		ENVO:03501290	[{'predicate': 'subClassOf', 'target': 'FoodShop'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
ContaminatedLand	contaminated land	Land which has elevated levels of some contaminants or substances that are potentially hazardous to health or the environment.		[{'predicate': 'subClassOf', 'target': 'Land'}]		ENVO:03600073	[{'predicate': 'subClassOf', 'target': 'ContaminatedLand'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Pump	pump	A device that moves fluids (liquids or gases), or sometimes slurries, by mechanical action.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501266	[{'predicate': 'subClassOf', 'target': 'FluidMotionDevice'}, {'predicate': 'CapableOf', 'target': 'MaterialTransportProcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
PressureOfAtmosphericWaterVapour	pressure of atmospheric water vapour	The pressure of some atmospheric water vapour.		[{'predicate': 'CharacteristicOf', 'target': 'AtmosphericWaterVapour'}, {'predicate': 'subClassOf', 'target': 'Pressure'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Pressure'}, {'predicate': 'CharacteristicOf', 'target': 'AtmosphericWaterVapour'}]	ENVO:09200033	[{'predicate': 'CharacteristicOf', 'target': 'AtmosphericWaterVapour'}, {'predicate': 'subClassOf', 'target': 'Pressure'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
NetShortwaveRadiation	net shortwave radiation	Energy which has been absorbed by an astronomical body or its parts following that body's irradiation by shortwave radiation from a star.		[{'predicate': 'RealizedIn', 'target': 'StellarRadiation'}, {'predicate': 'CharacteristicOfPartOf', 'target': 'AstronomicalBody'}, {'predicate': 'subClassOf', 'target': 'Energy'}]		ENVO:06105265	[{'predicate': 'subClassOf', 'target': 'EnergyQuality'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	3
ChildCareEnvironment	child care environment	An anthropogenic environment which is designed for child care.		[{'predicate': 'HasPart', 'target': 'DayCareBuilding'}, {'predicate': 'subClassOf', 'target': 'AnthropogenicEnvironment'}]		ENVO:03501333	[{'predicate': 'subClassOf', 'target': 'AnthropogenicEnvironment'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1
SiltyClay	silty clay	Clay which has a high proportion of silt in its composition.		[{'predicate': 'HasPart', 'target': 'Silt'}, {'predicate': 'subClassOf', 'target': 'Clay'}]		ENVO:06105280	[{'predicate': 'subClassOf', 'target': 'Clay'}, {'predicate': 'ComposedPrimarilyOf', 'target': 'Silt'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
NeonatalUnitFacility	neonatal unit facility	A hospital unit facility which is used to provide neonatal medical services.		[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501159	[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
ConcentrationOfAmmoniumInSeaWater	concentration of ammonium in sea water	The concentration of ammonium when measured in sea water.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOfAmmoniumInLiquidWater'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ConcentrationOf'}, {'predicate': 'CharacteristicOf', 'target': '_:riog00021526'}]	ENVO:3100040	[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VacuumCleaner	vacuum cleaner	A device that causes suction in order to remove debris from surfaces.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501251	[{'predicate': 'subClassOf', 'target': 'CleaningAgent'}, {'predicate': 'HasPart', 'target': 'SuctionDevice'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
NutritionAndDieteticsUnitFacility	nutrition and dietetics unit facility	A hospital unit facility which is used to provide nutrition and dietetics services.		[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501163	[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
Trattoria	trattoria	A restaurant which is of Italian cultural origin and which is generally less formal than an Italian ristorante, but more formal than an osteria.		[{'predicate': 'subClassOf', 'target': 'Restaurant'}]		ENVO:03501228	[{'predicate': 'subClassOf', 'target': 'Restaurant'}, {'predicate': 'PartOf', 'target': 'ItalianCulturalOrigin'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
MeromicticPond	meromictic pond	A pond which has layers of water that do not intermix.		[{'predicate': 'subClassOf', 'target': 'Pond'}]		ENVO:03600043	[{'predicate': 'subClassOf', 'target': 'Pond'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
WastewaterTreatmentProcess	wastewater treatment process	A recycling process during which wastewater is treated		[{'predicate': 'subClassOf', 'target': 'RecyclingProcess'}]		ENVO:06105300	[{'predicate': 'subClassOf', 'target': 'EnvironmentalSystemProcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ConcentrationOfCalciumCarbonateInSeaWater	concentration of calcium carbonate in sea water	The concentration of calcium carbonate when measured in sea water.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ConcentrationOf'}, {'predicate': 'CharacteristicOf', 'target': '_:riog00021679'}]	ENVO:3100049	[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PhysiotherapyUnitFacility	physiotherapy unit facility	A hospital unit facility which is used to provide physiotherapy.		[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501172	[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}, {'predicate': 'hasQuality', 'target': 'PhysicalTherapy'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
SnowCover	snow cover	An area density which inheres in snow distributed over an area of a landmass or other substrate.		[{'predicate': 'subClassOf', 'target': 'AreaDensity'}]		ENVO:03400003	[{'predicate': 'subClassOf', 'target': 'AreaDensity'}, {'predicate': 'CharacteristicOf', 'target': 'Snow'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
Dryer	dryer	A device designed to remove water or humidity.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501284	[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PublicTransitSystem	public transit system	A constructed transport system which is owned by a government or other form of public representation.		[{'predicate': 'PartOf', 'target': 'PublicInfrastructure'}, {'predicate': 'ParticipatesIn', 'target': 'UsageOfAnEnvironmentForCommunityAndSocialServices'}, {'predicate': 'subClassOf', 'target': 'ConstructedTransportSystem'}]		ENVO:03501111	[{'predicate': 'subClassOf', 'target': 'TransportSystem'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	3
Photobioreactor	photobioreactor	A bioreactor which utilizes a light source to cultivate phototrophic microorganisms.		[{'predicate': 'subClassOf', 'target': 'Bioreactor'}]		ENVO:03600077	[{'predicate': 'subClassOf', 'target': 'Bioreactor'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
Convective	convective	A physical quality of a process which is characteristic of processes that transport material within a volume due to the combined effects of material property heterogeneity and body forces across that volume.		[{'predicate': 'subClassOf', 'target': 'PhysicalQualityOfAProcess'}]		ENVO:01003011	[{'predicate': 'subClassOf', 'target': 'MaterialTransportProcess'}, {'predicate': 'HasParticipant', 'target': 'Convection'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
ConcentrationOfChloroflurocarbonInSeaWater	concentration of chloroflurocarbon in sea water	The concentration of chloroflurocarbon when measured in sea water.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ConcentrationOf'}, {'predicate': 'CharacteristicOf', 'target': '_:riog00021594'}]	ENVO:3100044	[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PrecipitationOfSleet	precipitation of sleet	A hydrological precipitation process during which water falls in both liquid and frozen form.		[{'predicate': 'subClassOf', 'target': 'HydrologicalPrecipitationProcess'}]		ENVO:03400014	[{'predicate': 'subClassOf', 'target': 'PrecipitationProcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AlkalineSpring	alkaline spring	A mineral spring through which water with a high pH flows.		[{'predicate': 'subClassOf', 'target': 'MineralSpring'}]		ENVO:01001894	[{'predicate': 'subClassOf', 'target': 'MineralSpring'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
ToteBag	tote bag	A large bag with parallel handles that emerge from the sides of its pouch.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501293	[{'predicate': 'subClassOf', 'target': 'Bag'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Squeegee	squeegee	A tool with a flat, smooth rubber blade, used to remove or control the flow of liquid on a flat surface.		[{'predicate': 'subClassOf', 'target': 'HandTool'}]		ENVO:03501264	[{'predicate': 'subClassOf', 'target': 'CleaningAgent'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Gypsum	gypsum	A soft sulfate mineral composed of calcium sulfate dihydrate.		[{'predicate': 'subClassOf', 'target': 'AnthropogenicEnvironmentalMaterial'}]		ENVO:03501253	[{'predicate': 'subClassOf', 'target': 'SulfateMineral'}, {'predicate': 'ComposedMainlyOf', 'target': 'CalciumSulfateDihydrate'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
SpeedOfSoilWaterInfiltration	speed of soil water infiltration	The speed of some soil water infiltration.		[{'predicate': 'CharacteristicOf', 'target': 'WaterInfiltrationIntoSoil'}, {'predicate': 'subClassOf', 'target': 'Speed'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Speed'}, {'predicate': 'CharacteristicOf', 'target': 'WaterInfiltrationIntoSoil'}]	ENVO:09200028	[{'predicate': 'CharacteristicOf', 'target': 'WaterInfiltrationIntoSoil'}, {'predicate': 'subClassOf', 'target': 'Speed'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
DrySoilAlbedo	dry soil albedo	Soil albedo which inheres in dry soil.		[{'predicate': 'subClassOf', 'target': 'SoilAlbedo'}]		ENVO:06105233	[{'predicate': 'HasQuality', 'target': 'Dry'}, {'predicate': 'subClassOf', 'target': 'SoilAlbedo'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
PediatricIntensiveCareUnitFacility	pediatric intensive care unit facility	A hospital unit facility which is used to provide pediatric intensive care.		[{'predicate': 'subClassOf', 'target': 'IntensiveCareUnitFacility'}]		ENVO:03501170	[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
NestOfAlligator	nest of alligator	An animal habitation which is built by alligators from plants and decomposing vegetation in order to protect their eggs from predators.		[{'predicate': 'subClassOf', 'target': 'AnimalHabitation'}]		ENVO:03600069	[{'predicate': 'subClassOf', 'target': 'AnimalHabitation'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
ConcentrationOfCarbon13AtomInSeaWater	concentration of carbon-13 atom in sea water	The concentration of carbon-13 atom when measured in sea water.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOfCarbonAtomInSeaWater'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ConcentrationOf'}, {'predicate': 'CharacteristicOf', 'target': '_:riog00021560'}]	ENVO:3100042	[{'predicate': 'subClassOf', 'target': 'ConcentrationOf'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Hillock	hillock	A hill which is small and usually separated from a larger group of hills such as a range.		[{'predicate': 'subClassOf', 'target': 'Hill'}]		ENVO:03501238	[{'predicate': 'subClassOf', 'target': 'Hill'}, {'predicate': 'subClassOf', 'target': 'SurfaceLandform'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
