# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-21 10:52:47.945170'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 44
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							MucosaOfLobularBronchiole	mucosa of lobular bronchiole	A mucosa that is part of a lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'MucosaOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Mucosa'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600002	A mucosa that is part of a lobular bronchiole.	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							Calf	calf	The posterior aspect of the lower extremity that extends from the knee to the foot.		[{'predicate': 'PartOf', 'target': 'HindlimbZeugopod'}, {'predicate': 'subClassOf', 'target': 'AnatomicalStructure_UBERON:0000061'}]		UBERON:8480048		0.0	0.0	0.0	0.0	0.0	0	0	0	1
							ThoracolumbarJunction	thoracolumbar junction	Area of transition between the posterior curvature of the thoracic spine and the anterior curvature of the lumbar spine.		[{'predicate': 'PartOf', 'target': 'TrunkRegionOfVertebralColumn'}, {'predicate': 'subClassOf', 'target': 'OrganPart'}]		UBERON:8480051	The thoracolumbar junction is a medical term referring to the part of the spine where the thoracic and lumbar sections meet. It is considered a part of the 'Trunk Region of Vertebral Column' and is a subclass of 'Organ Part'. It plays essential roles in the flexibility, balance, and support of the body. This junction links crucial parts of the nervous and musculoskeletal systems and is a common area for certain types of spinal injuries and conditions to occur due to its role as a transitional zone.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SkinOfUmbilicalArea	skin of umbilical area	A zone of skin that is part of the umbilicus and the periumbilical region.		[{'predicate': 'PartOf', 'target': 'Abdomen'}, {'predicate': 'subClassOf', 'target': 'SkinOfAbdomen'}]		UBERON:8480053	A skin of abdomen that is part of an abdomen.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							RightSupraclavicularLymphNode	right supraclavicular lymph node	Supraclavicular lymph node located on the right side of a entire appendicular skeleton. The right supraclavicular lymph node drains the breast, lung and upper esophagus into the right lymphatic duct.		[{'predicate': 'subClassOf', 'target': 'SupraclavicularLymphNode'}]		UBERON:8480057	A type of supraclavicular lymph node located on the right side of the human body, just above the clavicle or collarbone. Part of the lymphatic system, involved in the body's immune response. Its specific location may have implications for the types of conditions or diseases it is associated with.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralMuscleTissue	visceral muscle tissue	A muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'ComposedPrimarilyOf', 'target': 'VisceralMuscleCell'}, {'predicate': 'subClassOf', 'target': 'MuscleTissue'}]		UBERON:8600004	A type of muscle tissue primarily composed of visceral muscle cells.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SkinOfThoracolumbarJunction	skin of thoracolumbar junction	A zone of skin that is part of the thoracolumbar junction.		[{'predicate': 'PartOf', 'target': 'ThoracolumbarJunction'}, {'predicate': 'subClassOf', 'target': 'SkinOfBack'}]		UBERON:8480052	A zone of skin that is part of the thoracolumbar junction.	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SubmucosalGlandAcinus	submucosal gland acinus	A spherical or tubular structure in a submucosal gland that produces and secretes mucus and other substances into the ducts leading to the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'MucousAcinus'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'GlandularAcinus'}, {'predicate': 'PartOf', 'target': 'SubmucosalGland'}]	UBERON:8600012	A specialized portion of a submucosal gland and a type of mucous acinus.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							TrachealSubmucosalGlandCiliatedDuct	tracheal submucosal gland ciliated duct	A ciliated duct part of a tracheal submucosal gland.		[{'predicate': 'PartOf', 'target': 'TracheaGland'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}, {'predicate': 'subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}, {'predicate': 'PartOf', 'target': 'TracheaGland'}]	UBERON:8600011	A ciliated duct of a submucosal gland that is part of a trachea gland.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							EpitheliumOfLobularBronchiole	epithelium of lobular bronchiole	An epithelium of the lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'EpitheliumOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Epithelium'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600001	An epithelium that is part of a lobular bronchiole.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubmucosalGlandCiliatedDuct	submucosal gland ciliated duct	A ciliated tubular structure in a submucosal gland connecting the submucosal gland collecting duct with the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'HasPart', 'target': 'CiliatedEpithelialCell'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600014	A duct that is part of a submucosal gland and has ciliated epithelial cells as part of its structure.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PerigastricLymphNode	perigastric lymph node	Lymph node located in the perigastric region.		[{'predicate': 'subClassOf', 'target': 'AbdominalLymphNode'}]		UBERON:8480059	A lymph node that is located within the region of the stomach or perigastric area.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							ParallelFiber	parallel fiber	A parallel fiber results from the axon of a cerebellar granule cell ascending through the molecular layer where it synapses on the dendritic branches of Purkinje cells and stellate cells.		[{'predicate': 'PartOf', 'target': 'Cerebellum'}, {'predicate': 'Overlaps', 'target': 'CerebellarGranuleCell'}, {'predicate': 'subClassOf', 'target': 'NerveFiber'}, {'predicate': 'subClassOf', 'target': 'CentralNervousSystemCellPartCluster'}]		UBERON:0700019	A nerve fiber within the cerebellum, overlapping with cerebellar granule cells, and part of the central nervous system cell part cluster.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubcarinalLymphNode	subcarinal lymph node	Superior mediastinal lymph node located in the thoracic cavity between the lungs. It is bordered by the carina of the trachea, the lower lobe bronchus on the left and the intermediate bronchus on the right.		[{'predicate': 'subClassOf', 'target': 'SuperiorMediastinalLymphNode'}]		UBERON:8480055	The subcarinal lymph node is a specific type of lymph node that belongs to the Superior Mediastinal Lymph Nodes. It can be found in the chest area, specifically in the subcarinal space beneath the carina of the trachea and it forms a crucial part of the human body's immune defense system.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							DorsalIris	dorsal iris	The dorsal part of the iris. In urodeles (newts and salamanders) the dorsal iris is involved in lens regeneration in a process named Wolffian lens regeneration.		[{'predicate': 'PartOf', 'target': 'Iris'}, {'predicate': 'Overlaps', 'target': 'IrisEpithelium'}, {'predicate': 'subClassOf', 'target': 'OrganPart'}, {'predicate': 'subClassOf', 'target': 'EctodermDerivedStructure'}]		UBERON:8480063	A part of the iris that overlaps with the iris epithelium and is a subclass of 'OrganPart' and 'EctodermDerivedStructure'	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							FemoralHeadCartilage	femoral head cartilage	A hyaline articular cartilage that covers the head of femur. Provides cushioning, softness and low friction for the hip joint.		[{'predicate': 'PartOf', 'target': 'HeadOfFemur'}, {'predicate': 'subClassOf', 'target': 'UpperLegConnectiveTissue'}, {'predicate': 'subClassOf', 'target': 'PelvicAppendageCartilageTissue'}, {'predicate': 'subClassOf', 'target': 'ArticularCartilageOfJoint'}, {'predicate': 'subClassOf', 'target': 'LongBoneCartilageElement'}]		UBERON:8480062	Elastic tissue that is part of the head of the femur, acts as a cushion reducing friction in the hip joint, and facilitates the functionality of the pelvic appendages. It plays an important role in hip mobility and forms a vital part of long bones in the skeletal system.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VirchowSLymphNode	Virchow's lymph node	Lymph node that is the most proximal of the left supraclavicular lymph nodes. It receives afferent lymphatic drainage from the left head, neck, chest, abdomen, pelvis, and bilateral lower extremities, and drains into the jugulo-subclavian venous junction via the thoracic duct.		[{'predicate': 'subClassOf', 'target': 'LeftSupraclavicularLymphNode'}]		UBERON:8480058	A specific lymph node, part of the left supraclavicular lymph node group, located in the upper-left part of the chest, near the junction of the left clavicle and neck. An enlargement or swelling of the Virchow's lymph node often signifies an underlying systemic or metastasizing malignancy, particularly from gastrointestinal or genitourinary tracts. Despite it subclassifying from the left supraclavicular lymph node, Virchow's lymph node is particularly significant due to its association with abdominal and thoracic malignancies, thus considered a crucial gauge for possible metastasis or advanced systemic disease.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SmoothMuscleTissueOfLobularBronchiole	smooth muscle tissue of lobular bronchiole	A smooth muscle tissue that is part of a lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'SmoothMuscleTissueOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SmoothMuscleTissue'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600003	A portion of smooth muscle tissue that is part of a lobular bronchiole [Automatically generated definition].	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							MucosaOfRumen	mucosa of rumen	The mucosa of rumen is composed of a keratinised stratified squamous epithelium, is rich in mucopolysaccharides and is characterized by the presence of parakeratotis.		[{'predicate': 'PartOf', 'target': 'Rumen'}, {'predicate': 'subClassOf', 'target': 'MucosaOfStomach'}]		UBERON:8480046	A type of mucosa that is part of the rumen, which operates similarly to the mucosa of the stomach and assists in nutrient absorption and the secretion of substances necessary for digestion.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							BronchopulmonarySegment	bronchopulmonary segment	A discrete anatomical unit of the lung that is composed of a segmental bronchus and the lung tissue supplied by that bronchus. A bronchopulmonary segment exhibits a pyramidal shape, with its apex pointing towards the center of the lung and its base toward the pleural surface.		[{'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'ContributesToMorphologyOf', 'target': 'LobeOfLung'}, {'predicate': 'subClassOf', 'target': 'OrganSubunit'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}]		UBERON:8600017	A constituent part of a lobe of the lung, derived from the endoderm, that contributes to the morphology of the lobe.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							InterscapularRegion	interscapular region	The region in the upper part of the back between the shoulder blades.		[{'predicate': 'PartOf', 'target': 'Dorsum'}, {'predicate': 'subClassOf', 'target': 'OrganismSubdivision'}]		UBERON:8480066	The region located between the scapulae or shoulder blades on the upper surface or back of the organism.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							LobularBronchiole	lobular bronchiole	A conductive airway that branches into terminal bronchioles.		[{'predicate': 'subClassOf', 'target': 'Bronchiole'}]		UBERON:8600000	Lobular bronchioles are a subclass of bronchioles and are more refined branches located within the pulmonary lobules. They have a narrower diameter than larger bronchioles but their structure allows for efficient gas exchange, leading to the terminal and respiratory bronchioles where actual gas exchange takes place.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							RetroauricularRegion	retroauricular region	The retroauricular region is the area located behind the auricle of the outer ear.		[{'predicate': 'PartOf', 'target': 'Head'}, {'predicate': 'subClassOf', 'target': 'AnatomicalStructure_UBERON:0000061'}]		UBERON:8480047	A region that is part of a head and categorized under the broad term of AnatomicalStructure_UBERON:0000061, situated behind the ear.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							LeftSupraclavicularLymphNode	left supraclavicular lymph node	Supraclavicular lymph node located on the left side of a entire appendicular skeleton. The left supraclavicular lymph node drains the kidney, cervix, testis, and pancreas into the thoracic duct.		[{'predicate': 'subClassOf', 'target': 'SupraclavicularLymphNode'}]		UBERON:8480056	The left supraclavicular lymph node is a type of supraclavicular lymph node located above the left clavicle, part of the body's lymphatic system aiding in fighting infections and draining excess fluid.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SkinOfCalf	skin of calf	Skin of the back of the lower leg.		[{'predicate': 'PartOf', 'target': 'Calf'}, {'predicate': 'subClassOf', 'target': 'LowerLegSkin'}]		UBERON:8480050	A specific part of the outer covering or the integument of the calf, which is part of the overall calf structure and a subclass of 'LowerLegSkin'. It is the skin that covers the muscle and other tissues in the calf region.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							BronchialSubmucosalGlandCiliatedDuct	bronchial submucosal gland ciliated duct	A ciliated duct part of a bronchial submucosal gland.		[{'predicate': 'PartOf', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}, {'predicate': 'subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}, {'predicate': 'PartOf', 'target': 'BronchusSubmucosalGland'}]	UBERON:8600010	A ciliated duct of a submucosal gland located in the bronchus, that is derived from the endoderm.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralSmoothMuscleTissue	visceral smooth muscle tissue	A smooth muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'SmoothMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600005	A subtype of both Smooth Muscle Tissue and Visceral Muscle Tissue, forming a crucial part of the internal organ systems. Exhibiting slow, steady, involuntary contractions and relaxations controlled by the autonomic nervous system, it aids in functions like moving food along the digestive tract, controlling blood flow in the arteries, or emptying the bladder. Despite unique functions, it shares general muscle tissue attributes like contractility, excitability, extensibility and elasticity.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							LabialGland	labial gland	The labial gland is one of the minor salivary glands, located mainly under the mucosal epithelium of the upper and lower lip and within the orbicularis oris muscle fibers. The labial gland secrete mucous and serous substances to maintain oral health. In particular, the inferior labial gland not only promotes moisturization in the oral cavity but also secretes substances with antibacterial effects.		[{'predicate': 'subClassOf', 'target': 'MinorSalivaryGland'}]		UBERON:8480065	A small, exocrine gland located in the lips, responsible for producing saliva and helping in various bodily functions such as swallowing, digestion and providing lubrication for the oral cavity and lips.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
