# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-21 10:43:57.636107'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 44
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - label
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	expected_label	feature_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_label	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							MucosaOfLobularBronchiole	mucosa of lobular bronchiole	A mucosa that is part of a lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'MucosaOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Mucosa'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600002	mucosa of lobular bronchiole	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							Calf	calf	The posterior aspect of the lower extremity that extends from the knee to the foot.		[{'predicate': 'PartOf', 'target': 'HindlimbZeugopod'}, {'predicate': 'subClassOf', 'target': 'AnatomicalStructure_UBERON:0000061'}]		UBERON:8480048	lower leg	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							ThoracolumbarJunction	thoracolumbar junction	Area of transition between the posterior curvature of the thoracic spine and the anterior curvature of the lumbar spine.		[{'predicate': 'PartOf', 'target': 'TrunkRegionOfVertebralColumn'}, {'predicate': 'subClassOf', 'target': 'OrganPart'}]		UBERON:8480051	thoracolumbar transition	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SkinOfUmbilicalArea	skin of umbilical area	A zone of skin that is part of the umbilicus and the periumbilical region.		[{'predicate': 'PartOf', 'target': 'Abdomen'}, {'predicate': 'subClassOf', 'target': 'SkinOfAbdomen'}]		UBERON:8480053	umbilicus and periumbilical region skin	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							RightSupraclavicularLymphNode	right supraclavicular lymph node	Supraclavicular lymph node located on the right side of a entire appendicular skeleton. The right supraclavicular lymph node drains the breast, lung and upper esophagus into the right lymphatic duct.		[{'predicate': 'subClassOf', 'target': 'SupraclavicularLymphNode'}]		UBERON:8480057	right supraclavicular lymph node	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							VisceralMuscleTissue	visceral muscle tissue	A muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'ComposedPrimarilyOf', 'target': 'VisceralMuscleCell'}, {'predicate': 'subClassOf', 'target': 'MuscleTissue'}]		UBERON:8600004	visceral muscle tissue	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SkinOfThoracolumbarJunction	skin of thoracolumbar junction	A zone of skin that is part of the thoracolumbar junction.		[{'predicate': 'PartOf', 'target': 'ThoracolumbarJunction'}, {'predicate': 'subClassOf', 'target': 'SkinOfBack'}]		UBERON:8480052	skin of thoracolumbar junction	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SubmucosalGlandAcinus	submucosal gland acinus	A spherical or tubular structure in a submucosal gland that produces and secretes mucus and other substances into the ducts leading to the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'MucousAcinus'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'GlandularAcinus'}, {'predicate': 'PartOf', 'target': 'SubmucosalGland'}]	UBERON:8600012	acinus of submucosal gland	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							TrachealSubmucosalGlandCiliatedDuct	tracheal submucosal gland ciliated duct	A ciliated duct part of a tracheal submucosal gland.		[{'predicate': 'PartOf', 'target': 'TracheaGland'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}, {'predicate': 'subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}, {'predicate': 'PartOf', 'target': 'TracheaGland'}]	UBERON:8600011	ciliated duct of tracheal submucosal gland	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							EpitheliumOfLobularBronchiole	epithelium of lobular bronchiole	An epithelium of the lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'EpitheliumOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Epithelium'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600001	epithelium of lobular bronchiole	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SubmucosalGlandCiliatedDuct	submucosal gland ciliated duct	A ciliated tubular structure in a submucosal gland connecting the submucosal gland collecting duct with the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'HasPart', 'target': 'CiliatedEpithelialCell'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600014	ciliated duct of submucosal gland	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PerigastricLymphNode	perigastric lymph node	Lymph node located in the perigastric region.		[{'predicate': 'subClassOf', 'target': 'AbdominalLymphNode'}]		UBERON:8480059	perigastric lymph node	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							ParallelFiber	parallel fiber	A parallel fiber results from the axon of a cerebellar granule cell ascending through the molecular layer where it synapses on the dendritic branches of Purkinje cells and stellate cells.		[{'predicate': 'PartOf', 'target': 'Cerebellum'}, {'predicate': 'Overlaps', 'target': 'CerebellarGranuleCell'}, {'predicate': 'subClassOf', 'target': 'NerveFiber'}, {'predicate': 'subClassOf', 'target': 'CentralNervousSystemCellPartCluster'}]		UBERON:0700019	parallel fiber	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SubcarinalLymphNode	subcarinal lymph node	Superior mediastinal lymph node located in the thoracic cavity between the lungs. It is bordered by the carina of the trachea, the lower lobe bronchus on the left and the intermediate bronchus on the right.		[{'predicate': 'subClassOf', 'target': 'SuperiorMediastinalLymphNode'}]		UBERON:8480055	thoracic superior mediastinal lymph node	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							DorsalIris	dorsal iris	The dorsal part of the iris. In urodeles (newts and salamanders) the dorsal iris is involved in lens regeneration in a process named Wolffian lens regeneration.		[{'predicate': 'PartOf', 'target': 'Iris'}, {'predicate': 'Overlaps', 'target': 'IrisEpithelium'}, {'predicate': 'subClassOf', 'target': 'OrganPart'}, {'predicate': 'subClassOf', 'target': 'EctodermDerivedStructure'}]		UBERON:8480063	dorsal iris	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							FemoralHeadCartilage	femoral head cartilage	A hyaline articular cartilage that covers the head of femur. Provides cushioning, softness and low friction for the hip joint.		[{'predicate': 'PartOf', 'target': 'HeadOfFemur'}, {'predicate': 'subClassOf', 'target': 'UpperLegConnectiveTissue'}, {'predicate': 'subClassOf', 'target': 'PelvicAppendageCartilageTissue'}, {'predicate': 'subClassOf', 'target': 'ArticularCartilageOfJoint'}, {'predicate': 'subClassOf', 'target': 'LongBoneCartilageElement'}]		UBERON:8480062	femur head articular cartilage	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VirchowSLymphNode	Virchow's lymph node	Lymph node that is the most proximal of the left supraclavicular lymph nodes. It receives afferent lymphatic drainage from the left head, neck, chest, abdomen, pelvis, and bilateral lower extremities, and drains into the jugulo-subclavian venous junction via the thoracic duct.		[{'predicate': 'subClassOf', 'target': 'LeftSupraclavicularLymphNode'}]		UBERON:8480058	left supraclavicular lymph node	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SmoothMuscleTissueOfLobularBronchiole	smooth muscle tissue of lobular bronchiole	A smooth muscle tissue that is part of a lobular bronchiole.		[{'predicate': 'PartOf', 'target': 'LobularBronchiole'}, {'predicate': 'subClassOf', 'target': 'SmoothMuscleTissueOfBronchiole'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SmoothMuscleTissue'}, {'predicate': 'PartOf', 'target': 'LobularBronchiole'}]	UBERON:8600003	lobular bronchiole smooth muscle tissue	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							MucosaOfRumen	mucosa of rumen	The mucosa of rumen is composed of a keratinised stratified squamous epithelium, is rich in mucopolysaccharides and is characterized by the presence of parakeratotis.		[{'predicate': 'PartOf', 'target': 'Rumen'}, {'predicate': 'subClassOf', 'target': 'MucosaOfStomach'}]		UBERON:8480046	mucosa of rumen	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							BronchopulmonarySegment	bronchopulmonary segment	A discrete anatomical unit of the lung that is composed of a segmental bronchus and the lung tissue supplied by that bronchus. A bronchopulmonary segment exhibits a pyramidal shape, with its apex pointing towards the center of the lung and its base toward the pleural surface.		[{'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'ContributesToMorphologyOf', 'target': 'LobeOfLung'}, {'predicate': 'subClassOf', 'target': 'OrganSubunit'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}]		UBERON:8600017	bronchopulmonary segment	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							InterscapularRegion	interscapular region	The region in the upper part of the back between the shoulder blades.		[{'predicate': 'PartOf', 'target': 'Dorsum'}, {'predicate': 'subClassOf', 'target': 'OrganismSubdivision'}]		UBERON:8480066	interscapular region	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							LobularBronchiole	lobular bronchiole	A conductive airway that branches into terminal bronchioles.		[{'predicate': 'subClassOf', 'target': 'Bronchiole'}]		UBERON:8600000	bronchiole	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							RetroauricularRegion	retroauricular region	The retroauricular region is the area located behind the auricle of the outer ear.		[{'predicate': 'PartOf', 'target': 'Head'}, {'predicate': 'subClassOf', 'target': 'AnatomicalStructure_UBERON:0000061'}]		UBERON:8480047	retroauricular region	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							LeftSupraclavicularLymphNode	left supraclavicular lymph node	Supraclavicular lymph node located on the left side of a entire appendicular skeleton. The left supraclavicular lymph node drains the kidney, cervix, testis, and pancreas into the thoracic duct.		[{'predicate': 'subClassOf', 'target': 'SupraclavicularLymphNode'}]		UBERON:8480056	left supraclavicular lymph node	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SkinOfCalf	skin of calf	Skin of the back of the lower leg.		[{'predicate': 'PartOf', 'target': 'Calf'}, {'predicate': 'subClassOf', 'target': 'LowerLegSkin'}]		UBERON:8480050	skin of back of lower leg	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							BronchialSubmucosalGlandCiliatedDuct	bronchial submucosal gland ciliated duct	A ciliated duct part of a bronchial submucosal gland.		[{'predicate': 'PartOf', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'EndodermDerivedStructure'}, {'predicate': 'subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'SubmucosalGlandCiliatedDuct'}, {'predicate': 'PartOf', 'target': 'BronchusSubmucosalGland'}]	UBERON:8600010	ciliated duct of bronchus submucosal gland	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralSmoothMuscleTissue	visceral smooth muscle tissue	A smooth muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'SmoothMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600005	visceral smooth muscle tissue	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							LabialGland	labial gland	The labial gland is one of the minor salivary glands, located mainly under the mucosal epithelium of the upper and lower lip and within the orbicularis oris muscle fibers. The labial gland secrete mucous and serous substances to maintain oral health. In particular, the inferior labial gland not only promotes moisturization in the oral cavity but also secretes substances with antibacterial effects.		[{'predicate': 'subClassOf', 'target': 'MinorSalivaryGland'}]		UBERON:8480065	labial gland	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							IleocecalLymphNode	ileocecal lymph node	Mesenteric lymph node embedded in the ileocecal fold at both sides of the concavity of the cecum. It drains the terminal ileum.		[{'predicate': 'subClassOf', 'target': 'MesentericLymphNode'}]		UBERON:8480054	ileocecal lymph node	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							FrontHindlimbZeugopod	front hindlimb zeugopod	The frontal aspect of the lower extremity that extends from the knee to the foot.		[{'predicate': 'PartOf', 'target': 'HindlimbZeugopod'}, {'predicate': 'subClassOf', 'target': 'AnatomicalStructure_UBERON:0000061'}]		UBERON:8480049	anterior side of shank	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							ParallelFiber_bifurcated	parallel fiber, bifurcated	A parallel fiber that results from the bifurcation of a cerebellar granule cell axon in the molecular layer into two diametrically opposed branches, that are oriented parallel to the long axis of the folium.		[{'predicate': 'subClassOf', 'target': 'ParallelFiber'}]		UBERON:0700020	dichotomizing parallel fiber	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							BoneMarrowMicrovessel	bone marrow microvessel	Microvessel located in the bone marrow, including arterioles and sinusoids.		[{'predicate': 'LocatedIn', 'target': 'BoneMarrow'}, {'predicate': 'subClassOf', 'target': 'BloodMicrovessel'}]		UBERON:8480067	bone marrow microvessel	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							AnteriorSectorOfRightLobeOfLiver	anterior sector of right lobe of liver	The anterior sector of the right lobe of the liver.		[{'predicate': 'PartOf', 'target': 'RightLobeOfLiver'}, {'predicate': 'subClassOf', 'target': 'AnatomicalEntity_UBERON:0001062'}]		UBERON:8600016	anterior sector of right lobe of liver	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							VisceralObliquelyStriatedMuscleTissue	visceral obliquely striated muscle tissue	A striated visceral muscle tissue that has an oblique striation.		[{'predicate': 'subClassOf', 'target': 'VisceralStriatedMuscleTissue'}]		UBERON:8600008	oblique striated visceral muscle tissue	0.0	0.0	0.0	0.0	0.0	0	0	1	1
